name,tags,link,experience,lower_salary,upper_salary,currency
Middle / Senior Data Scientist,"['Computer Vision', 'Face Detection', 'Face Analyze', 'Tensorflow', 'PyTorch', 'Английский\xa0— B2 — Средне-продвинутый']",https://saratov.hh.ru/vacancy/84428754?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Аналитик данных/ data analyst,"['Python', 'Математическая статистика', 'Математический анализ', 'Статистический анализ', 'Аналитическое мышление', 'SQL', 'Английский\xa0— A2 — Элементарный']",https://saratov.hh.ru/vacancy/84945341?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,240000,240000,₽
Data analyst/ Аналитик данных,"['SQL;', 'Python', 'VBA', 'GreenPlum', 'PBI', 'BI', 'CHD']",https://saratov.hh.ru/vacancy/84942073?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Data sсientist (Анализ цены),[],https://saratov.hh.ru/vacancy/83382138?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Data Scientist (middle/middle+),"['hadoop', 'k8s', 'airflow', 'ML', 'Python', 'Machine Learning', 'Big Data', 'Регрессионный анализ', 'Математическое моделирование']",https://saratov.hh.ru/vacancy/85787526?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Data Engineer (проект Enterprise),[],https://saratov.hh.ru/vacancy/84857030?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Senior Data Scientist NLP,[],https://saratov.hh.ru/vacancy/85047646?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Lead Data Analyst,"['Amplitude', 'SQL', 'GrowthBook', 'DWH', 'Анализ данных']",https://saratov.hh.ru/vacancy/84694663?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,450000,450000,₽
Data scientict (NLP),[],https://saratov.hh.ru/vacancy/84914808?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Data Analyst (Поиск),[],https://saratov.hh.ru/vacancy/84362605?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Data аналитик,"['Python', 'SQL']",https://saratov.hh.ru/vacancy/85730163?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Middle Data Analyst,[],https://saratov.hh.ru/vacancy/85768325?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Data Scientist,[],https://saratov.hh.ru/vacancy/82682774?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Analyst/Data science,"['Статистический анализ', 'SQL', 'Pandas', 'ML', 'Статистика', 'sklearn', 'Numpy', 'Математическая статистика', 'Machine Learning', 'Data Mining', 'A/B тесты', 'Data Science', 'Data Analysis', 'Машинное обучение', 'Mathematical Statistics']",https://saratov.hh.ru/vacancy/84875631?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Data Engineer,[],https://saratov.hh.ru/vacancy/85639787?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Data Analyst,[],https://saratov.hh.ru/vacancy/85636721?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Data engineer,[],https://saratov.hh.ru/vacancy/85636481?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Data Analyst,[],https://saratov.hh.ru/vacancy/85634575?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,100000,140000,₽
Junior Data Engineer,"['Python', 'SQL', 'Базы данных', 'Анализ данных', 'Математический анализ']",https://saratov.hh.ru/vacancy/85721030?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Data Lead analyst,"['Data Analysis', 'SQL', 'Базы данных', 'Анализ данных', 'Английский язык', 'Big Data', 'Дашборд', 'Аналитика', 'Английский\xa0— B2 — Средне-продвинутый']",https://saratov.hh.ru/vacancy/85719689?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,2500,3000,€
Data Engineer,"['SQL', 'Python']",https://saratov.hh.ru/vacancy/82923369?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Data Engineer (senior),"['Python', 'SQL', 'Spark', 'ClickHouse']",https://saratov.hh.ru/vacancy/80872488?from=vacancy_search_list&query=data,Требуемый опыт работы: более 6 лет,350000,350000,₽
"ETL инженер данных / Data Engineer (офис, в Москве)","['SQL', 'DWH', 'ETL', 'ClickHouse', 'Python', 'Airflow']",https://saratov.hh.ru/vacancy/85642854?from=vacancy_search_list&query=data,Требуемый опыт работы: более 6 лет,200000,200000,₽
Senior Data engineer (Рекламная платформа),"['Git', 'SCALA', 'PostgreSQL', 'Python', 'Hadoop']",https://saratov.hh.ru/vacancy/78823057?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Data scientist (Ценообразование),[],https://saratov.hh.ru/vacancy/76974214?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Lead data scientist (Анализ цены и Trade in),[],https://saratov.hh.ru/vacancy/76954383?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Senior Data Scientist,"['Python', 'SQL', 'Стратегическое мышление', 'Машинное обучение', 'R']",https://saratov.hh.ru/vacancy/83076435?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Data Scientist / Developer (Middle / Senior),"['Data Science', 'Machine Learning', 'Python', 'C++', 'Linux', 'PostgreSQL', 'Clickhouse', 'SQL', 'NLP', 'MLOps']",https://saratov.hh.ru/vacancy/85754833?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Data Scientist/ML Architect (junior),"['Английский язык', 'Аналитический склад ума', 'Анализ данных', 'Работа с большим объемом информации', 'Математическая статистика', 'Подготовка презентаций', 'Математический анализ', 'Английский\xa0— B2 — Средне-продвинутый']",https://saratov.hh.ru/vacancy/84841863?from=vacancy_search_list&query=data,Требуемый опыт работы: не требуется,60000,80000,₽
Middle Системный Аналитик в продукт B2B (Big Data),"['SQL', 'BPMN', 'UML', 'PostgreSQL']",https://saratov.hh.ru/vacancy/84167135?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Специалист по машинному обучению (Data Scientist),"['Data Science', 'Python', 'Git', 'Машинное обучение', 'Atlassian Confluence']",https://saratov.hh.ru/vacancy/85070992?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
"Data engineer, Фреш, Ценообразование","['IT', 'Фреш']",https://saratov.hh.ru/vacancy/85727621?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Риск - Аналитик (Senior Data scientist),[],https://saratov.hh.ru/vacancy/84733036?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Data Engineer,"['Data', 'ETL', 'PostgreSQL', 'Airflow', 'Metabase', 'Clickhouse', 'Debezium', 'Datalens', 'Python', 'SQL', 'ETL/ELT', 'Greenplum', 'Vertica']",https://saratov.hh.ru/vacancy/84046397?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Data Engineer,"['PostgreSQL', 'Python', 'SQL', 'Hadoop', 'Clickhouse', 'Greenplum']",https://saratov.hh.ru/vacancy/85487018?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Разработчик С# (продукт RU DATA),[],https://saratov.hh.ru/vacancy/84213833?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Системный аналитик (продукт RU DATA),"['Системный анализ', 'XML', 'JSON', 'Excel', 'SQL']",https://saratov.hh.ru/vacancy/77561854?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Data engineer,[],https://saratov.hh.ru/vacancy/85477190?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Data Scientist,"['Python', 'Machine Learning', 'SQL']",https://saratov.hh.ru/vacancy/82848765?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Data Scientist,"['Python', 'Linux', 'Spark', 'Английский язык', 'SQL', 'Big Data']",https://saratov.hh.ru/vacancy/85466579?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Data scientist,"['SQL', 'pandas', 'data.table', 'data science', 'Английский\xa0— B1 — Средний']",https://saratov.hh.ru/vacancy/85452560?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,200000,200000,₽
"Senior Data Scientist (NLP, PLP)","['NLP', 'Python', 'PyTorch', 'Tensorflow', 'Deep Learning', 'ML', 'Data Science']",https://saratov.hh.ru/vacancy/81314083?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Data engineer,"['SQL', 'PostgreSQL', 'Python']",https://saratov.hh.ru/vacancy/84132464?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Data Engineer,[],https://saratov.hh.ru/vacancy/85426163?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Data Engineer,"['PostgreSQL', 'Базы данных', 'Hive', 'Hadoop', 'Python', 'Spark', 'ETL', 'SQL', 'DWH', 'Big Data']",https://saratov.hh.ru/vacancy/79156500?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Data Analyst,"['Анализ данных', 'Английский язык', 'Power BI', 'Python', 'SQL', 'Data Analysis', 'Airflow', 'A/B тесты', 'Tableau', 'Amplitude']",https://saratov.hh.ru/vacancy/84744968?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Data Analyst,"['SQL', 'Python', 'Английский\xa0— B2 — Средне-продвинутый']",https://saratov.hh.ru/vacancy/85417111?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Data Engineer,"['ETL', 'DWH', 'SQL', 'Airflow', 'Python', 'Greenplum']",https://saratov.hh.ru/vacancy/84691165?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Data engineer / Системный архитектор,[],https://saratov.hh.ru/vacancy/85670173?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Data engineer,"['Python', 'DWH', 'GreenPlum']",https://saratov.hh.ru/vacancy/85413401?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Data engineer,[],https://saratov.hh.ru/vacancy/85402784?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,100000,180000,₽
Data Engineer,[],https://saratov.hh.ru/vacancy/82563779?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Senior Data Scientist/ML Engineer (команда SmartSearch),"['Python', 'NLP', 'Deep Learning', 'Linux', 'Docker']",https://saratov.hh.ru/vacancy/67924416?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
